date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:22:25	165742/165742	---MCZ	200	added ('OK')	application/octet-stream	etag:%223277c11e6461ed25cef5e4941ad29245-ssl-df%22	https://oracle-v1.netlify.app/assets/fonts/fontawesome-webfont.eot?v=4.7.0	C:/Users/vinicius%20bonancio/Documents/platinum%20shark%20clone/oracle-v1.netlify.app/assets/fonts/fontawesome-webfont3e6e.eot	(from https://oracle-v1.netlify.app/assets/css/font-awesome.min.css)
22:22:25	77160/77160	---M--	200	added ('OK')	font/woff2	etag:%223c437c341174d75b3bf5d2d5a134da0d-ssl%22	https://oracle-v1.netlify.app/assets/fonts/fontawesome-webfont.woff2?v=4.7.0	C:/Users/vinicius%20bonancio/Documents/platinum%20shark%20clone/oracle-v1.netlify.app/assets/fonts/fontawesome-webfont3e6e.woff2	(from https://oracle-v1.netlify.app/assets/css/font-awesome.min.css)
22:22:25	165742/165742	---M-Z	200	added ('OK')	application/octet-stream	etag:%223277c11e6461ed25cef5e4941ad29245-ssl-df%22	https://oracle-v1.netlify.app/assets/fonts/fontawesome-webfont.eot?	C:/Users/vinicius%20bonancio/Documents/platinum%20shark%20clone/oracle-v1.netlify.app/assets/fonts/fontawesome-webfontd41d.eot	(from https://oracle-v1.netlify.app/assets/css/font-awesome.min.css)
22:22:26	98024/98024	---MCZ	200	added ('OK')	application/font-woff	etag:%22ba421a370eabbc3d43585a770be1e18b-ssl-df%22	https://oracle-v1.netlify.app/assets/fonts/fontawesome-webfont.woff?v=4.7.0	C:/Users/vinicius%20bonancio/Documents/platinum%20shark%20clone/oracle-v1.netlify.app/assets/fonts/fontawesome-webfont3e6e.woff	(from https://oracle-v1.netlify.app/assets/css/font-awesome.min.css)
22:22:26	165548/165548	---M--	200	added ('OK')	font/ttf	etag:%2270ff12bbc965c9bb40dc96081062bebe-ssl%22	https://oracle-v1.netlify.app/assets/fonts/fontawesome-webfont.ttf?v=4.7.0	C:/Users/vinicius%20bonancio/Documents/platinum%20shark%20clone/oracle-v1.netlify.app/assets/fonts/fontawesome-webfont3e6e.ttf	(from https://oracle-v1.netlify.app/assets/css/font-awesome.min.css)
22:22:27	267388/267388	---M--	200	added ('OK')	font/ttf	etag:%22f02a25a1523b12c022c53406f3e8139e-ssl%22	https://oracle-v1.netlify.app/assets/fonts/SourceSansPro-Bold.ttf	C:/Users/vinicius%20bonancio/Documents/platinum%20shark%20clone/oracle-v1.netlify.app/assets/fonts/SourceSansPro-Bold.ttf	(from https://oracle-v1.netlify.app/assets/css/retro.min.css)
22:22:27	269108/269108	---M--	200	added ('OK')	font/ttf	etag:%22e49976efe8d2a1ecadcfa5e24857423e-ssl%22	https://oracle-v1.netlify.app/assets/fonts/SourceSansPro-Regular.ttf	C:/Users/vinicius%20bonancio/Documents/platinum%20shark%20clone/oracle-v1.netlify.app/assets/fonts/SourceSansPro-Regular.ttf	(from https://oracle-v1.netlify.app/assets/css/retro.min.css)
22:22:27	268280/268280	---M--	200	added ('OK')	font/ttf	etag:%2294a82a57f3a6094af8b6addb9fcbf440-ssl%22	https://oracle-v1.netlify.app/assets/fonts/SourceSansPro-SemiBold.ttf	C:/Users/vinicius%20bonancio/Documents/platinum%20shark%20clone/oracle-v1.netlify.app/assets/fonts/SourceSansPro-SemiBold.ttf	(from https://oracle-v1.netlify.app/assets/css/retro.min.css)
22:22:27	444379/444379	---MCZ	200	added ('OK')	image/svg+xml	etag:%226fbd06ce2be0d05e10b5320f3fe58186-ssl-df%22	https://oracle-v1.netlify.app/assets/fonts/fontawesome-webfont.svg?v=4.7.0	C:/Users/vinicius%20bonancio/Documents/platinum%20shark%20clone/oracle-v1.netlify.app/assets/fonts/fontawesome-webfont3e6e.svg	(from https://oracle-v1.netlify.app/assets/css/font-awesome.min.css)
22:22:28	2473/2473	---M--	200	added ('OK')	image/png	etag:%22d55945b9c3e39096c6ce61fa1eff3b45-ssl%22	https://oracle-v1.netlify.app/assets/images/Group%2020.png	C:/Users/vinicius%20bonancio/Documents/platinum%20shark%20clone/oracle-v1.netlify.app/assets/images/Group%2020.png	(from https://oracle-v1.netlify.app/assets/css/retro-homepage.min.css)
22:22:29	265612/265612	---M--	200	added ('OK')	font/ttf	etag:%220b9b939ee1aaf799d2bba05a4093fa34-ssl%22	https://oracle-v1.netlify.app/assets/fonts/SourceSansPro-Black.ttf	C:/Users/vinicius%20bonancio/Documents/platinum%20shark%20clone/oracle-v1.netlify.app/assets/fonts/SourceSansPro-Black.ttf	(from https://oracle-v1.netlify.app/assets/css/retro.min.css)
22:22:31	153608/153608	---M--	200	added ('OK')	image/png	etag:%2284c057ab1c73ea68f7da6d546bee0651-ssl%22	https://oracle-v1.netlify.app/assets/images/Mask%20Group%2012.png	C:/Users/vinicius%20bonancio/Documents/platinum%20shark%20clone/oracle-v1.netlify.app/assets/images/Mask%20Group%2012.png	(from https://oracle-v1.netlify.app/about.html)
22:22:32	628103/628103	---M--	200	added ('OK')	image/jpeg	etag:%221522eefb82eb96c137d1bc9fe9bf6c1e-ssl%22	https://oracle-v1.netlify.app/assets/images/rayul-_M6gy9oHgII-unsplash.jpg	C:/Users/vinicius%20bonancio/Documents/platinum%20shark%20clone/oracle-v1.netlify.app/assets/images/rayul-_M6gy9oHgII-unsplash.jpg	(from https://oracle-v1.netlify.app/about.html)
22:22:32	815136/815136	---M--	200	added ('OK')	image/jpeg	etag:%22bb44e79182fb1655a2f57fa46e7da2f5-ssl%22	https://oracle-v1.netlify.app/assets/images/philipe-cavalcante-Ugpcxb0jG4Q-unsplash.jpg	C:/Users/vinicius%20bonancio/Documents/platinum%20shark%20clone/oracle-v1.netlify.app/assets/images/philipe-cavalcante-Ugpcxb0jG4Q-unsplash.jpg	(from https://oracle-v1.netlify.app/about.html)
22:22:33	110940/110940	---M--	200	added ('OK')	image/png	etag:%226aec0669c8b9a6eb98eabc969059200d-ssl%22	https://oracle-v1.netlify.app/assets/images/smiling-woman-wearing-black-sweater-1587009-removebg-preview%201.png	C:/Users/vinicius%20bonancio/Documents/platinum%20shark%20clone/oracle-v1.netlify.app/assets/images/smiling-woman-wearing-black-sweater-1587009-removebg-preview%201.png	(from https://oracle-v1.netlify.app/about.html)
22:22:33	109122/109122	---M--	200	added ('OK')	image/png	etag:%22d7c683a4ce54e7a05e35f7e58f322d4a-ssl%22	https://oracle-v1.netlify.app/assets/images/Mask%20Group-12.png	C:/Users/vinicius%20bonancio/Documents/platinum%20shark%20clone/oracle-v1.netlify.app/assets/images/Mask%20Group-12.png	(from https://oracle-v1.netlify.app/about.html)
22:22:33	349703/349703	---M--	200	added ('OK')	image/png	etag:%229454153b032f314c1a535e82076e1fda-ssl%22	https://oracle-v1.netlify.app/assets/images/men-s-white-dress-shirt-936229-removebg-preview%201.png	C:/Users/vinicius%20bonancio/Documents/platinum%20shark%20clone/oracle-v1.netlify.app/assets/images/men-s-white-dress-shirt-936229-removebg-preview%201.png	(from https://oracle-v1.netlify.app/about.html)
22:22:33	85038/85038	---M--	200	added ('OK')	image/png	etag:%223eb6aca1123444b8d358bdaec1a4bcc8-ssl%22	https://oracle-v1.netlify.app/assets/images/Mask%20Groupwq.png	C:/Users/vinicius%20bonancio/Documents/platinum%20shark%20clone/oracle-v1.netlify.app/assets/images/Mask%20Groupwq.png	(from https://oracle-v1.netlify.app/about.html)
22:22:34	1903275/1903275	---M--	200	added ('OK')	image/jpeg	etag:%22378842fe67fccb853dfaabfe67b3c17d-ssl%22	https://oracle-v1.netlify.app/assets/images/ivana-cajina-dnL6ZIpht2s-unsplash.jpg	C:/Users/vinicius%20bonancio/Documents/platinum%20shark%20clone/oracle-v1.netlify.app/assets/images/ivana-cajina-dnL6ZIpht2s-unsplash.jpg	(from https://oracle-v1.netlify.app/about.html)
22:22:34	126328/126328	---M--	200	added ('OK')	image/png	etag:%22836eff3ae236f007ab888cda86005fcc-ssl%22	https://oracle-v1.netlify.app/assets/images/Mask%20Group%2013.png	C:/Users/vinicius%20bonancio/Documents/platinum%20shark%20clone/oracle-v1.netlify.app/assets/images/Mask%20Group%2013.png	(from https://oracle-v1.netlify.app/about.html)
